Config,Mapping
CICCCC,CICCCC
CICCCD,CICCCD
CICCDC,CICCDC
CICCDD,CICCDD
CICCLC,CICCLC
CICCLD,CICCLD
CICDCC,CICDCC
CICDCD,CICDCD
CICDDC,CICDDC
CICDDD,CICDDD
CICDLC,CICDLC
CICDLD,CICDLD
CICLCC,CICLCC
CICLCD,CICLCD
CICLDC,CICLDC
CICLDD,CICLDD
CICLLC,CICLLC
CICLLD,CICLLD
CIDCCC,CIDCCC
CIDCCD,CIDCCD
CIDCDC,CIDCDC
CIDCDD,CIDCDD
CIDCLC,CIDCMC
CIDCLD,CIDCMD
CIDDCC,CIDDCC
CIDDCD,CIDDCD
CIDDDC,CIDDDC
CIDDDD,CIDDDD
CIDDLC,CIDDMC
CIDDLD,CIDDMD
CIDLCC,CIDMCC
CIDLCD,CIDMCD
CIDLDC,CIDMDC
CIDLDD,CIDMDD
CIDLLC,CIDMMC
CIDLLD,CIDMMD
CKCCCC,CKCCCC
CKCCCD,CKCCCD
CKCCCS,CKCCCS
CKCCDC,CKCCDC
CKCCDD,CKCCDD
CKCCDS,CKCCDS
CKCCLC,CKCCLC
CKCCLD,CKCCLD
CKCCLS,CKCCLS
CKCDCC,CKCDCC
CKCDCD,CKCDCD
CKCDCS,CKCDCS
CKCDDC,CKCDDC
CKCDDD,CKCDDD
CKCDDS,CKCDDS
CKCDLC,CKCDLC
CKCDLD,CKCDLD
CKCDLS,CKCDLS
CKCLCC,CKCLCC
CKCLCD,CKCLCD
CKCLCS,CKCLCS
CKCLDC,CKCLDC
CKCLDD,CKCLDD
CKCLDS,CKCLDS
CKCLLC,CKCLLC
CKCLLD,CKCLLD
CKCLLS,CKCLLS
CKDCCC,CKDCCC
CKDCCD,CKDCCD
CKDCCS,CKDCCT
CKDCDC,CKDCDC
CKDCDD,CKDCDD
CKDCDS,CKDCDT
CKDCLC,CKDCMC
CKDCLD,CKDCMD
CKDCLS,CKDCMT
CKDDCC,CKDDCC
CKDDCD,CKDDCD
CKDDCS,CKDDCT
CKDDDC,CKDDDC
CKDDDD,CKDDDD
CKDDDS,CKDDDT
CKDDLC,CKDDMC
CKDDLD,CKDDMD
CKDDLS,CKDDMT
CKDLCC,CKDMCC
CKDLCD,CKDMCD
CKDLCS,CKDMCT
CKDLDC,CKDMDC
CKDLDD,CKDMDD
CKDLDS,CKDMDT
CKDLLC,CKDMMC
CKDLLD,CKDMMD
CKDLLS,CKDMMT
DICCCC,DICCCC
DICCCD,DICCCD
DICCDC,DICCDC
DICCDD,DICCDD
DICCLC,DICCLC
DICCLD,DICCLD
DICDCC,DICDCC
DICDCD,DICDCD
DICDDC,DICDDC
DICDDD,DICDDD
DICDLC,DICDLC
DICDLD,DICDLD
DICLCC,DICLCC
DICLCD,DICLCD
DICLDC,DICLDC
DICLDD,DICLDD
DICLLC,DICLLC
DICLLD,DICLLD
DIDCCC,DIDCCC
DIDCCD,DIDCCD
DIDCDC,DIDCDC
DIDCDD,DIDCDD
DIDCLC,DIDCMC
DIDCLD,DIDCMD
DIDDCC,DIDDCC
DIDDCD,DIDDCD
DIDDDC,DIDDDC
DIDDDD,DIDDDD
DIDDLC,DIDDMC
DIDDLD,DIDDMD
DIDLCC,DIDMCC
DIDLCD,DIDMCD
DIDLDC,DIDMDC
DIDLDD,DIDMDD
DIDLLC,DIDMMC
DIDLLD,DIDMMD
DKCCCC,DKCCCC
DKCCCD,DKCCCD
DKCCCS,DKCCCS
DKCCDC,DKCCDC
DKCCDD,DKCCDD
DKCCDS,DKCCDS
DKCCLC,DKCCLC
DKCCLD,DKCCLD
DKCCLS,DKCCLS
DKCDCC,DKCDCC
DKCDCD,DKCDCD
DKCDCS,DKCDCS
